video_id,style_raw,style_no,category_id,category_name,brand_code,brand_name,oss_url,posted_date,impressions,views,clicks,orders,revenue
7639913851592461598,NMUMMT2507,NMUMMT2507,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7639913851592461598/2026/07/29/7639913851592461598_e8d2af2363894490ac2e77c36116acda.mp4,2026-05-14,277210,270184,10044,113,5493.860000
7640023947047603487,SDPW222W,DWUMWS2203,64,坡跟凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640023947047603487/2026/07/08/7640023947047603487_5c6e524741c8462e8d6b4ef1affc0f35.mp4,2026-05-15,92479,86357,1529,87,3211.310000
7640135856551906591,NMUMMT2507,NMUMMT2507,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640135856551906591/2026/08/25/7640135856551906591_82f8ab148fbe44b786d50c8f77b1c643.mp4,2026-05-15,152262,148227,4925,45,2329.240000
7640169695034838303,NMUMMT2507,NMUMMT2507,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640169695034838303/2026/07/09/7640169695034838303_9cf445a3aec44c7a97d2a8d3208e6fe6.mp4,2026-05-15,324469,317537,9572,108,5469.860000
7640219549903654174,SNRS24003W-W,SNRS24003W-W,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640219549903654174/2026/07/06/7640219549903654174_e11b39e2dd044212a9465cb61d1680dc.mp4,2026-05-15,1336498,1250508,101701,1203,57025.100000
7640246852893281567,NMUMMT2507,NMUMMT2507,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640246852893281567/2026/07/08/7640246852893281567_20ff9f38e643457495679ad2f9e5935b.mp4,2026-05-15,157555,149679,1955,47,2486.460000
7640401196875926798,AWUMRS2506,AWUMRS2506,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640401196875926798/2026/07/24/7640401196875926798_e8f409cecb2641d58c9b5960e718fadf.mp4,2026-05-16,495618,463539,8895,142,7640.580000
7640587234109934879,SNRS24003W-W,SNRS24003W-W,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640587234109934879/2026/07/23/7640587234109934879_efa6a72239d9486b94cb7f98fcd54c1d.mp4,2026-05-16,210128,191775,6482,130,5997.940000
7640611033232493837,DWUMFF2503,DWUMFF2503,67,夹趾拖,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640611033232493837/2026/07/08/7640611033232493837_77825e4fca6c487382027cff674891aa.mp4,2026-05-16,226158,179197,6733,212,7424.260000
7640624155666271519,SNRS24009M-W,SNRS24009M-W,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640624155666271519/2026/08/21/7640624155666271519_9327dffa1df54df4aac625d18b92ae38.mp4,2026-05-16,167089,156660,6325,121,5629.100000
7640682721815039262,SNHB26018W,SNHB26018W,82,徒步靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640682721815039262/2026/08/16/7640682721815039262_6f7549aabf064470aafa0497c340fe74.mp4,2026-05-16,150165,128394,6606,45,2441.490000
7640893630764289293,BWUMFO2501,BWUMFO2501,87,餐厨用鞋,1,Bruno Marc,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640893630764289293/2026/09/04/7640893630764289293_b8907c158cad4a01be8ac27a0553edbf.mp4,2026-05-17,109403,103569,6438,91,3126.300000
7640976565077036318,SDFA2409W,DWUMFA2427,53,平底鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7640976565077036318/2026/07/20/7640976565077036318_714d6e460e43484b8ee9b19c3cb4aab7.mp4,2026-05-17,247553,226416,5194,142,4483.920000
7641225092499852575,SDPU2445W,DWUMPU2435,52,高跟鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7641225092499852575/2026/07/08/7641225092499852575_ab2bac335be74e7793b94051f271fa34.mp4,2026-05-18,153434,141329,3953,49,1608.490000
7641621213084749087,SDKB2416W,DWUMKB2435,61,及膝靴,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7641621213084749087/2026/07/08/7641621213084749087_9668580bf7d7428bb1c465572f43e3cb.mp4,2026-05-19,551040,486160,9642,127,6275.690000
7642006420233145630,SNMT26006M-W,SNMT26006M-W,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7642006420233145630/2026/07/08/7642006420233145630_e2fe8f5d36fa49309898fa03edcf7026.mp4,2026-05-20,314042,294067,3128,102,5547.970000
7642214679091154207,SDFA2409W,DWUMFA2427,53,平底鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7642214679091154207/2026/07/08/7642214679091154207_2388954d082447c19354ee6c98dd4adc.mp4,2026-05-21,1310055,1095846,78609,181,5702.971933
7642337453713444110,SDPW222W,DWUMWS2203,64,坡跟凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7642337453713444110/2026/07/06/7642337453713444110_408ea68f807b4ec9b383fa0225554f06.mp4,2026-05-21,342633,315395,10235,403,14813.720000
7642545581436439839,SNRS24007W-L,SNRS24007W-L,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7642545581436439839/2026/07/08/7642545581436439839_c4f48dc231904d7eafa72866f37b2d78.mp4,2026-05-21,173538,159733,15812,103,5720.250000
7642797220332424478,SDFS2311W,DWUMFS2306,66,平底凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7642797220332424478/2026/08/23/7642797220332424478_fbe0120dac3849de966ce10170494721.mp4,2026-05-22,112424,102449,3139,98,3018.260000
7642976776691469598,SNST26006U,SNST26006U,69,运动凉鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7642976776691469598/2026/07/08/7642976776691469598_1b4bb9b6c6934d6a977aa3e04857986f.mp4,2026-05-22,341418,286401,18086,131,3951.400000
7643089162257698079,SDPU2346W-NEW,DWUMPU2306,52,高跟鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7643089162257698079/2026/08/01/7643089162257698079_89be49a2d8a542f89fca69bdf62da87f.mp4,2026-05-23,247574,174470,5335,85,3288.617878
7643096208637988127,NMUMMT2507,NMUMMT2507,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7643096208637988127/2026/07/07/7643096208637988127_94400a090eeb4156b7c3e3742d444c26.mp4,2026-05-23,795545,718691,30072,294,15337.120000
7643570180487990559,AWUMRS2512,AWUMRS2512,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7643570180487990559/2026/07/26/7643570180487990559_19a86d072112424595d8ba8f8e103dcf.mp4,2026-05-24,697976,659434,42997,325,14652.900000
7644380726057504014,SDHS2405W,DWUMHS2458,63,高跟凉鞋,2,DREAM PAIRS,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7644380726057504014/2026/07/08/7644380726057504014_6129dc28d827481282fc1ef05d555326.mp4,2026-05-26,1093461,1026219,9523,323,11373.280000
7644594825248935199,SNHI26011M,SNHI26011M,81,徒步鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7644594825248935199/2026/07/08/7644594825248935199_237fdf0626c6435184a884d9e7e88cb5.mp4,2026-05-27,180865,175601,5585,95,4977.050000
7644668488639909134,SARS24001W-W,SARS24001W-W,70,跑鞋,9,ALLSWIFIT,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7644668488639909134/2026/08/05/7644668488639909134_d7fcf6956ced4a318d14954d866dd19e.mp4,2026-05-27,175681,155700,8003,137,6297.960000
7644771500012162334,SNMT26006M-W,SNMT26006M-W,88,军事用靴,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7644771500012162334/2026/07/26/7644771500012162334_2f168922ed3d4282990d8b8b18defc08.mp4,2026-05-31,149191,144586,3792,52,2878.290000
7644773393681747213,SNRS24007W-L,SNRS24007W-L,70,跑鞋,3,NORTIV8,https://mmt-sz.oss-cn-shenzhen.aliyuncs.com/video_labeling_prod/agent-videos/remote_url/7644773393681747213/2026/07/17/7644773393681747213_64c9e451483c4968b2e94a88127e7c80.mp4,2026-05-27,149540,144310,10841,114,6443.020000
